0,0,0,0,0,0
-4.9286e-08,0.0011576,-0.0012932,0.00013557,-4.9286e-08,1.6529e-08
-1.0301e-06,0.0048875,-0.0054599,0.0005721,-1.0301e-06,3.4545e-07
-5.6694e-06,0.01119,-0.0125,0.0013083,-5.6694e-06,1.9013e-06
-1.8665e-05,0.020063,-0.02241,0.0023408,-1.8665e-05,6.2588e-06
-4.6682e-05,0.031506,-0.035184,0.0036628,-4.6682e-05,1.565e-05
-9.8346e-05,0.045514,-0.050808,0.0052616,-9.8346e-05,3.2959e-05
-0.00018422,0.062078,-0.069256,0.0071158,-0.00018422,6.1701e-05
-0.0003168,0.081187,-0.090484,0.0091918,-0.0003168,0.000106
-0.00051044,0.10282,-0.11443,0.01144,-0.00051044,0.00017055
-0.00078128,0.12694,-0.141,0.013791,-0.00078128,0.00026053
-0.0011472,0.15353,-0.17006,0.016151,-0.0011472,0.00038153
-0.0016277,0.18251,-0.20145,0.018399,-0.0016277,0.00053946
-0.0022436,0.21384,-0.23496,0.020384,-0.0022436,0.00074034
-0.0030173,0.24742,-0.27034,0.021924,-0.0030173,0.00099025
-0.0039723,0.28318,-0.30727,0.022802,-0.0039723,0.0012951
-0.0051332,0.321,-0.34543,0.022775,-0.0051332,0.0016605
-0.0065257,0.36076,-0.38443,0.021571,-0.0065257,0.0020916
-0.0081766,0.40235,-0.42384,0.018895,-0.0081766,0.0025933
-0.010114,0.44563,-0.46324,0.014436,-0.010114,0.0031696
-0.012368,0.49046,-0.50216,0.0078714,-0.012368,0.0038243
-0.014968,0.53669,-0.54012,-0.0011285,-0.014968,0.0045607
-0.01795,0.58418,-0.57667,-0.012893,-0.01795,0.0053817
-0.021348,0.63277,-0.61131,-0.027746,-0.021348,0.0062902
-0.025201,0.6823,-0.64359,-0.046004,-0.025201,0.0072891
-0.029551,0.73261,-0.67302,-0.067973,-0.029551,0.0083813
-0.034446,0.78353,-0.69916,-0.093941,-0.034445,0.0095704
-0.039934,0.83487,-0.72156,-0.12418,-0.039934,0.01086
-0.046075,0.88643,-0.73976,-0.15894,-0.046074,0.012256
-0.052929,0.93801,-0.75334,-0.19845,-0.052928,0.013762
-0.060568,0.98938,-0.76188,-0.24292,-0.060566,0.015385
-0.069072,1.0403,-0.76496,-0.29252,-0.06907,0.017132
-0.078534,1.0905,-0.76218,-0.3474,-0.07853,0.01901
-0.08906,1.1397,-0.75316,-0.40768,-0.089055,0.021028
-0.10078,1.1877,-0.73755,-0.47345,-0.10077,0.023193
-0.11385,1.2341,-0.71502,-0.54478,-0.11384,0.025512
-0.12845,1.2787,-0.68529,-0.62167,-0.12844,0.027991
-0.14483,1.3213,-0.64815,-0.70412,-0.14481,0.03063
-0.16329,1.3616,-0.60345,-0.79204,-0.16327,0.033428
-0.18421,1.3995,-0.55122,-0.88531,-0.18418,0.036373
-0.20807,1.435,-0.49164,-0.98367,-0.20802,0.039445
-0.23544,1.4682,-0.42519,-1.0868,-0.23538,0.042607
-0.26695,1.4992,-0.35264,-1.194,-0.26686,0.045803
-0.3031,1.5286,-0.27508,-1.3047,-0.30298,0.048954
-0.3439,1.5567,-0.19376,-1.418,-0.34373,0.051969
-0.38832,1.5839,-0.1097,-1.5332,-0.3881,0.054764
-0.434,1.6102,-0.023443,-1.6498,-0.43372,0.057301
-0.47792,1.6356,0.064707,-1.7672,-0.47756,0.0596
-0.51766,1.6602,0.15394,-1.885,-0.51724,0.061713
-0.55229,1.6847,0.24261,-2.0018,-0.5518,0.063677
-0.58199,1.7098,0.3286,-2.1166,-0.58144,0.065503
-0.60747,1.7365,0.40995,-2.228,-0.60686,0.067186
-0.62951,1.7653,0.48516,-2.3351,-0.62885,0.068716
-0.64878,1.7966,0.55326,-2.4374,-0.64807,0.070089
-0.66579,1.8305,0.61373,-2.5345,-0.66504,0.071309
-0.68094,1.867,0.6664,-2.6261,-0.68014,0.072382
-0.69451,1.906,0.71129,-2.7122,-0.69367,0.073319
-0.70673,1.9472,0.74858,-2.7927,-0.70586,0.074134
-0.71778,1.9903,0.77854,-2.8677,-0.71687,0.07484
-0.72778,2.0351,0.80147,-2.9371,-0.72684,0.07545
-0.73685,2.0813,0.81776,-3.0011,-0.73588,0.075978
-0.74506,2.1286,0.82776,-3.0597,-0.74407,0.076434
-0.7525,2.1766,0.83189,-3.1131,-0.75148,0.07683
-0.75922,2.2252,0.83055,-3.1615,-0.75818,0.077175
-0.76529,2.274,0.82415,-3.2049,-0.76423,0.077475
-0.77076,2.3228,0.81311,-3.2436,-0.76968,0.077739
-0.77567,2.3714,0.79786,-3.2777,-0.77458,0.077971
-0.78006,2.4196,0.77882,-3.3076,-0.77896,0.078174
-0.78398,2.4671,0.75641,-3.3334,-0.78287,0.078353
-0.78746,2.5139,0.73106,-3.3554,-0.78634,0.078509
-0.79054,2.5597,0.70318,-3.3739,-0.78941,0.078643
-0.79325,2.6045,0.67321,-3.3891,-0.79212,0.078758
-0.79562,2.648,0.64155,-3.4014,-0.79448,0.078853
-0.79767,2.6902,0.60863,-3.4109,-0.79654,0.07893
-0.79945,2.7309,0.57484,-3.4181,-0.79831,0.078988
-0.80096,2.7699,0.5406,-3.4232,-0.79983,0.079028
-0.80224,2.8073,0.50629,-3.4264,-0.80111,0.07905
-0.80331,2.8429,0.47228,-3.428,-0.80218,0.079055
-0.80418,2.8765,0.43893,-3.4284,-0.80306,0.079044
-0.80489,2.9081,0.40658,-3.4277,-0.80377,0.079017
-0.80545,2.9376,0.37552,-3.4261,-0.80434,0.078975
-0.80588,2.9648,0.34605,-3.4238,-0.80477,0.07892
